serveur,protocol,site,url,code
109.239.118.76,https,ozanges.fr,/,200
109.239.118.76,https,ozanges.fr,/agence-web-communication,200
109.239.118.76,https,ozanges.fr,/agence-digitale-angouleme,200
109.239.118.76,https,pyrenees-vacances.fr,/,200
109.239.118.76,https,pyrenees-vacances.fr,/fr,200
109.239.118.76,https,pyrenees-vacances.fr,/fr/locations-pyrenees/,200
109.239.118.76,https,pyrenees-vacances.fr,/fr/contact,200
109.239.118.76,https,pyrenees-vacances.fr,/es,200
109.239.118.76,https,pyrenees-vacances.fr,/es/locations-pyrenees/,200
109.239.118.76,https,pyrenees-vacances.fr,/es/contact,200
109.239.118.107,https,madeparis.com,/,200
109.239.118.107,https,madeparis.com,/liste-catalogue,200
109.239.118.107,https,madeparis.com,/actualites,200
